Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG
Alex Abrines,OKC,22,1,15.8,1.4,3.9,0.365,0.8,2.5,0.309,0.6,1.4,0.467,0.465,0.4,0.5,0.75,0.4,1.1,1.5,0.5,0.6,0.1,0.4,2,4
Quincy Acy,BRK,19,0,17.5,1.6,4.7,0.333,1.3,3.8,0.342,0.3,0.9,0.294,0.472,1.2,1.4,0.846,0.5,3.2,3.7,0.7,0.4,0.2,1.1,2.1,5.6
Steven Adams,OKC,21,21,31.2,5.8,9,0.64,0,0,0,5.8,9,0.64,0.64,1.9,2.9,0.656,4.6,3.8,8.4,0.8,1.4,1,1.9,2.7,13.4
Bam Adebayo,MIA,15,6,15.2,2,3.3,0.6,0,0,0,2,3.3,0.6,0.6,1.3,1.7,0.731,1.5,2.3,3.8,0.1,0.8,0.6,0.7,1.5,5.3
Arron Afflalo,ORL,20,0,12.5,0.8,2.4,0.333,0.3,1.2,0.261,0.5,1.3,0.4,0.396,0.4,0.6,0.667,0.1,1.5,1.6,0.6,0.1,0.2,0.4,1.1,2.3
Cole Aldrich,MIN,5,0,2,0,0.4,0,0,0,0,0,0.4,0,0,0.2,0.4,0.5,0,0.2,0.2,0.2,0.2,0,0,0.4,0.2
LaMarcus Aldridge,SAS,24,24,33.3,8.7,17.2,0.504,0.6,1.6,0.385,8,15.6,0.516,0.522,4.6,5.5,0.847,3.1,4.9,8,2.2,0.6,1.2,1.5,2.5,22.6
Jarrett Allen,BRK,16,0,16,2.1,3.8,0.55,0.1,0.1,0.5,2,3.6,0.552,0.558,0.9,1.3,0.714,1.4,2.3,3.7,0.6,0.6,0.9,0.5,1.7,5.1
Tony Allen,NOP,21,0,12.9,2.1,4.3,0.484,0.2,0.6,0.333,1.9,3.8,0.506,0.505,0.5,1,0.524,1,1.3,2.2,0.4,0.5,0.1,0.9,2.3,4.9
Al-Farouq Aminu,POR,11,9,29.5,3.4,7.3,0.463,1.9,4.2,0.457,1.5,3.1,0.471,0.594,0.9,1.1,0.833,1.4,6,7.4,1.3,0.6,1,1.3,1.9,9.5
Justin Anderson,PHI,10,0,12.6,1.8,4.8,0.375,0.9,2.6,0.346,0.9,2.2,0.409,0.469,0.5,0.7,0.714,1,1.7,2.7,0.3,0.3,0.1,0.4,1.9,5
Kyle Anderson,SAS,23,23,27.4,3.5,6.8,0.513,0.2,0.5,0.364,3.3,6.3,0.524,0.526,1.7,2.3,0.755,1.3,4.6,6,3,1.2,0.8,1.3,1.6,8.9
Ryan Anderson,HOU,22,21,29.5,4.4,9.2,0.473,3,7.1,0.423,1.4,2.1,0.638,0.635,1,1.2,0.815,1.4,4.2,5.5,0.7,0.3,0.4,0.9,2,12.7
Ike Anigbogu,IND,6,0,2.8,0.2,0.8,0.2,0,0,0,0.2,0.8,0.2,0.2,0.3,0.3,1,0.3,0.3,0.7,0,0.2,0.2,0.3,0.2,0.7
Giannis Antetokounmpo,MIL,22,22,37.2,10.9,20,0.547,0.5,1.8,0.256,10.5,18.2,0.575,0.558,7.4,9.7,0.761,2,8.2,10.2,4.5,1.7,1.7,2.9,3.6,29.6
Carmelo Anthony,OKC,23,23,32.6,6.6,16.3,0.406,2.1,6.2,0.338,4.5,10.1,0.448,0.471,2.8,3.6,0.783,0.8,5.7,6.5,1.7,0.8,0.7,1.5,2.8,18.1
OG Anunoby,TOR,22,10,19,2.5,5,0.505,1.1,2.7,0.417,1.4,2.2,0.612,0.619,0.6,1,0.636,0.6,1.4,2,0.9,0.9,0,0.5,2,6.8
Ryan Arcidiacono,CHI,1,0,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Trevor Ariza,HOU,21,21,34,4,9,0.441,2.6,6.7,0.386,1.4,2.3,0.604,0.585,0.9,1,0.905,0.6,4,4.6,2,1.6,0.2,1,1.9,11.4
